pc_time_s,recording,idx,t_us,red,ir,green,rb_used,flags,finger,underflow,overflow,catchup
1767648976.3699522,0,7299,76008437,138628,189372,0,0,11,1,1,0,1
1767648976.3716755,0,7300,76018437,138628,189372,0,0,11,1,1,0,1
1767648976.3733084,0,7301,76028437,138628,189372,0,0,11,1,1,0,1
1767648976.411847,0,7302,76038437,138628,189372,0,0,3,1,1,0,0
1767648976.4135234,0,7303,76048437,138628,189372,0,0,11,1,1,0,1
1767648976.4558752,0,7304,76058437,138695,189390,0,1,9,1,0,0,1
1767648976.4574282,0,7305,76068437,138668,189383,0,0,9,1,0,0,1
1767648976.4590347,0,7306,76078437,138668,189383,0,0,11,1,1,0,1
1767648976.4607682,0,7307,76088437,138668,189383,0,0,11,1,1,0,1
1767648976.4623725,0,7308,76098437,138668,189383,0,0,11,1,1,0,1
1767648976.5047739,0,7309,76108437,138697,189387,0,1,9,1,0,0,1
1767648976.5063896,0,7310,76118437,138719,189404,0,0,9,1,0,0,1
1767648976.5081024,0,7311,76128437,138719,189404,0,0,11,1,1,0,1
1767648976.510726,0,7312,76138437,138719,189404,0,0,3,1,1,0,0
1767648976.5124424,0,7313,76148437,138719,189404,0,0,11,1,1,0,1
1767648976.556902,0,7314,76158437,138710,189387,0,1,9,1,0,0,1
1767648976.5584865,0,7315,76168437,138726,189403,0,0,9,1,0,0,1
1767648976.5600643,0,7316,76178437,138726,189403,0,0,11,1,1,0,1
1767648976.561848,0,7317,76188437,138726,189403,0,0,11,1,1,0,1
1767648976.5634017,0,7318,76198437,138726,189403,0,0,11,1,1,0,1
1767648976.6058555,0,7319,76208437,138721,189395,0,1,9,1,0,0,1
1767648976.607599,0,7320,76218437,138718,189400,0,0,9,1,0,0,1
1767648976.6091828,0,7321,76228437,138718,189400,0,0,11,1,1,0,1
1767648976.611989,0,7322,76238437,138718,189400,0,0,3,1,1,0,0
1767648976.6136115,0,7323,76248437,138718,189400,0,0,11,1,1,0,1
1767648976.6558347,0,7324,76258437,138754,189400,0,1,9,1,0,0,1
1767648976.657505,0,7325,76268437,138739,189405,0,0,9,1,0,0,1
1767648976.659101,0,7326,76278437,138739,189405,0,0,11,1,1,0,1
1767648976.6608932,0,7327,76288437,138739,189405,0,0,11,1,1,0,1
1767648976.662525,0,7328,76298437,138739,189405,0,0,11,1,1,0,1
1767648976.7067945,0,7329,76308437,138715,189394,0,1,9,1,0,0,1
1767648976.7084045,0,7330,76318437,138703,189402,0,0,9,1,0,0,1
1767648976.7099738,0,7331,76328437,138703,189402,0,0,11,1,1,0,1
1767648976.7126904,0,7332,76338437,138703,189402,0,0,3,1,1,0,0
1767648976.7567074,0,7333,76348437,138724,189397,0,1,9,1,0,0,1
1767648976.7582839,0,7334,76358437,138730,189363,0,0,9,1,0,0,1
1767648976.759941,0,7335,76368437,138730,189363,0,0,11,1,1,0,1
1767648976.761626,0,7336,76378437,138730,189363,0,0,11,1,1,0,1
1767648976.7631211,0,7337,76388437,138730,189363,0,0,11,1,1,0,1
1767648976.8058376,0,7338,76398437,138756,189381,0,1,9,1,0,0,1
1767648976.8075168,0,7339,76408437,138730,189374,0,0,9,1,0,0,1
1767648976.8091183,0,7340,76418437,138730,189374,0,0,11,1,1,0,1
1767648976.8107367,0,7341,76428437,138730,189374,0,0,11,1,1,0,1
1767648976.8134453,0,7342,76438437,138730,189374,0,0,3,1,1,0,0
1767648976.8558543,0,7343,76448437,138715,189376,0,1,9,1,0,0,1
1767648976.857512,0,7344,76458437,138710,189385,0,0,9,1,0,0,1
1767648976.8591163,0,7345,76468437,138710,189385,0,0,11,1,1,0,1
1767648976.8608115,0,7346,76478437,138710,189385,0,0,11,1,1,0,1
1767648976.8622572,0,7347,76488437,138710,189385,0,0,11,1,1,0,1
1767648976.9067512,0,7348,76498437,138709,189420,0,1,9,1,0,0,1
1767648976.9084473,0,7349,76508437,138731,189408,0,0,9,1,0,0,1
1767648976.9102292,0,7350,76518437,138731,189408,0,0,11,1,1,0,1
1767648976.911946,0,7351,76528437,138731,189408,0,0,11,1,1,0,1
1767648976.9556875,0,7352,76538437,138745,189379,0,1,1,1,0,0,0
1767648976.957333,0,7353,76548437,138736,189382,0,0,9,1,0,0,1
1767648976.9590838,0,7354,76558437,138736,189382,0,0,11,1,1,0,1
1767648976.960911,0,7355,76568437,138736,189382,0,0,11,1,1,0,1
1767648976.96245,0,7356,76578437,138736,189382,0,0,11,1,1,0,1
1767648977.0067124,0,7357,76588437,138744,189370,0,1,9,1,0,0,1
1767648977.0084507,0,7358,76598437,138740,189371,0,0,9,1,0,0,1
1767648977.0100565,0,7359,76608437,138740,189371,0,0,11,1,1,0,1
1767648977.0117245,0,7360,76618437,138740,189371,0,0,11,1,1,0,1
1767648977.013421,0,7361,76628437,138740,189371,0,0,11,1,1,0,1
1767648977.056799,0,7362,76638437,138726,189372,0,1,1,1,0,0,0
1767648977.0584574,0,7363,76648437,138739,189366,0,0,9,1,0,0,1
1767648977.060213,0,7364,76658437,138739,189366,0,0,11,1,1,0,1
1767648977.0620131,0,7365,76668437,138739,189366,0,0,11,1,1,0,1
1767648977.0635378,0,7366,76678437,138739,189366,0,0,11,1,1,0,1
1767648977.1058698,0,7367,76688437,138723,189386,0,1,9,1,0,0,1
1767648977.10737,0,7368,76698437,138728,189388,0,0,9,1,0,0,1
1767648977.1094596,0,7369,76708437,138728,189388,0,0,11,1,1,0,1
1767648977.1105943,0,7370,76718437,138728,189388,0,0,11,1,1,0,1
1767648977.1121593,0,7371,76728437,138728,189388,0,0,11,1,1,0,1
1767648977.1558075,0,7372,76738437,138754,189376,0,1,1,1,0,0,0
1767648977.1573975,0,7373,76748437,138730,189391,0,0,9,1,0,0,1
1767648977.1589499,0,7374,76758437,138730,189391,0,0,11,1,1,0,1
1767648977.1606119,0,7375,76768437,138730,189391,0,0,11,1,1,0,1
1767648977.162218,0,7376,76778437,138730,189391,0,0,11,1,1,0,1
1767648977.1637914,0,7377,76788437,138730,189391,0,0,11,1,1,0,1
1767648977.205802,0,7378,76798437,138713,189381,0,1,9,1,0,0,1
1767648977.2076106,0,7379,76808437,138728,189401,0,0,9,1,0,0,1
1767648977.2091992,0,7380,76818437,138728,189401,0,0,11,1,1,0,1
1767648977.210948,0,7381,76828437,138728,189401,0,0,11,1,1,0,1
1767648977.2134657,0,7382,76838437,138728,189401,0,0,3,1,1,0,0
1767648977.255759,0,7383,76848437,138711,189373,0,1,9,1,0,0,1
1767648977.2574148,0,7384,76858437,138711,189401,0,0,9,1,0,0,1
1767648977.2590263,0,7385,76868437,138711,189401,0,0,11,1,1,0,1
1767648977.2606137,0,7386,76878437,138711,189401,0,0,11,1,1,0,1
1767648977.262235,0,7387,76888437,138711,189401,0,0,11,1,1,0,1
1767648977.26386,0,7388,76898437,138711,189401,0,0,11,1,1,0,1
1767648977.3056815,0,7389,76908437,138705,189401,0,1,9,1,0,0,1
1767648977.3074532,0,7390,76918437,138731,189381,0,0,9,1,0,0,1
1767648977.3091094,0,7391,76928437,138731,189381,0,0,11,1,1,0,1
1767648977.3117952,0,7392,76938437,138731,189381,0,0,3,1,1,0,0
1767648977.3132896,0,7393,76948437,138731,189381,0,0,11,1,1,0,1
1767648977.355608,0,7394,76958437,138723,189390,0,1,9,1,0,0,1
1767648977.3571978,0,7395,76968437,138714,189372,0,0,9,1,0,0,1
1767648977.3588288,0,7396,76978437,138714,189372,0,0,11,1,1,0,1
1767648977.3604279,0,7397,76988437,138714,189372,0,0,11,1,1,0,1
1767648977.3620636,0,7398,76998437,138714,189372,0,0,11,1,1,0,1
1767648977.3637645,0,7399,77008437,138714,189372,0,0,11,1,1,0,1
1767648977.4057133,0,7400,77018437,138691,189387,0,1,9,1,0,0,1
1767648977.4073634,0,7401,77028437,138724,189379,0,0,9,1,0,0,1
1767648977.41081,0,7402,77038437,138724,189379,0,0,3,1,1,0,0
1767648977.4124527,0,7403,77048437,138724,189379,0,0,11,1,1,0,1
1767648977.4567094,0,7404,77058437,138721,189356,0,1,9,1,0,0,1
1767648977.4583368,0,7405,77068437,138703,189378,0,0,9,1,0,0,1
1767648977.4601216,0,7406,77078437,138703,189378,0,0,11,1,1,0,1
1767648977.461845,0,7407,77088437,138703,189378,0,0,11,1,1,0,1
1767648977.4635112,0,7408,77098437,138703,189378,0,0,11,1,1,0,1
1767648977.5057187,0,7409,77108437,138702,189371,0,1,9,1,0,0,1
1767648977.5074944,0,7410,77118437,138719,189351,0,0,9,1,0,0,1
1767648977.5091252,0,7411,77128437,138719,189351,0,0,11,1,1,0,1
1767648977.5116918,0,7412,77138437,138719,189351,0,0,3,1,1,0,0
1767648977.513496,0,7413,77148437,138719,189351,0,0,11,1,1,0,1
1767648977.5556357,0,7414,77158437,138725,189378,0,1,9,1,0,0,1
1767648977.557251,0,7415,77168437,138716,189382,0,0,9,1,0,0,1
1767648977.55885,0,7416,77178437,138716,189382,0,0,11,1,1,0,1
1767648977.560504,0,7417,77188437,138716,189382,0,0,11,1,1,0,1
1767648977.5620933,0,7418,77198437,138716,189382,0,0,11,1,1,0,1
1767648977.5638587,0,7419,77208437,138716,189382,0,0,11,1,1,0,1
1767648977.6057155,0,7420,77218437,138694,189377,0,1,9,1,0,0,1
1767648977.6073449,0,7421,77228437,138696,189363,0,0,9,1,0,0,1
1767648977.6100912,0,7422,77238437,138696,189363,0,0,3,1,1,0,0
1767648977.6117103,0,7423,77248437,138696,189363,0,0,11,1,1,0,1
1767648977.6133444,0,7424,77258437,138696,189363,0,0,11,1,1,0,1
1767648977.6557107,0,7425,77268437,138689,189403,0,1,9,1,0,0,1
1767648977.6573138,0,7426,77278437,138675,189393,0,0,9,1,0,0,1
1767648977.6588576,0,7427,77288437,138675,189393,0,0,11,1,1,0,1
1767648977.660491,0,7428,77298437,138675,189393,0,0,11,1,1,0,1
1767648977.662118,0,7429,77308437,138675,189393,0,0,11,1,1,0,1
1767648977.6638823,0,7430,77318437,138675,189393,0,0,11,1,1,0,1
1767648977.70562,0,7431,77328437,138709,189377,0,1,9,1,0,0,1
1767648977.7082453,0,7432,77338437,138691,189397,0,0,1,1,0,0,0
1767648977.7098346,0,7433,77348437,138691,189397,0,0,11,1,1,0,1
1767648977.7114866,0,7434,77358437,138691,189397,0,0,11,1,1,0,1
1767648977.7129567,0,7435,77368437,138691,189397,0,0,11,1,1,0,1
1767648977.7556236,0,7436,77378437,138683,189388,0,1,9,1,0,0,1
1767648977.7572458,0,7437,77388437,138660,189408,0,0,9,1,0,0,1
1767648977.7588232,0,7438,77398437,138660,189408,0,0,11,1,1,0,1
1767648977.760409,0,7439,77408437,138660,189408,0,0,11,1,1,0,1
1767648977.7619624,0,7440,77418437,138660,189408,0,0,11,1,1,0,1
1767648977.7635481,0,7441,77428437,138660,189408,0,0,11,1,1,0,1
1767648977.806808,0,7442,77438437,138696,189391,0,1,1,1,0,0,0
1767648977.8084965,0,7443,77448437,138721,189400,0,0,9,1,0,0,1
1767648977.8101287,0,7444,77458437,138721,189400,0,0,11,1,1,0,1
1767648977.8116474,0,7445,77468437,138721,189400,0,0,11,1,1,0,1
1767648977.8131647,0,7446,77478437,138721,189400,0,0,11,1,1,0,1
1767648977.8557026,0,7447,77488437,138700,189415,0,1,9,1,0,0,1
1767648977.857468,0,7448,77498437,138700,189396,0,0,9,1,0,0,1
1767648977.8590748,0,7449,77508437,138700,189396,0,0,11,1,1,0,1
1767648977.8608453,0,7450,77518437,138700,189396,0,0,11,1,1,0,1
1767648977.8624141,0,7451,77528437,138700,189396,0,0,11,1,1,0,1
1767648977.9076462,0,7452,77538437,138693,189349,0,1,1,1,0,0,0
1767648977.9092023,0,7453,77548437,138661,189341,0,0,9,1,0,0,1
1767648977.9108636,0,7454,77558437,138661,189341,0,0,11,1,1,0,1
1767648977.912403,0,7455,77568437,138661,189341,0,0,11,1,1,0,1
1767648977.913988,0,7456,77578437,138661,189341,0,0,11,1,1,0,1
1767648977.9566295,0,7457,77588437,138669,189364,0,1,9,1,0,0,1
1767648977.9583075,0,7458,77598437,138667,189314,0,0,9,1,0,0,1
1767648977.9600847,0,7459,77608437,138667,189314,0,0,11,1,1,0,1
1767648977.9617045,0,7460,77618437,138667,189314,0,0,11,1,1,0,1
1767648977.9633293,0,7461,77628437,138667,189314,0,0,11,1,1,0,1
1767648978.0013883,0,7462,77638437,138667,189314,0,0,3,1,1,0,0
1767648978.0030615,0,7463,77648437,138667,189314,0,0,11,1,1,0,1
1767648978.0457819,0,7464,77658437,138650,189353,0,1,9,1,0,0,1
1767648978.0472584,0,7465,77668437,138647,189384,0,0,9,1,0,0,1
1767648978.0488148,0,7466,77678437,138647,189384,0,0,11,1,1,0,1
1767648978.0504544,0,7467,77688437,138647,189384,0,0,11,1,1,0,1
1767648978.0521257,0,7468,77698437,138647,189384,0,0,11,1,1,0,1
1767648978.0538242,0,7469,77708437,138647,189384,0,0,11,1,1,0,1
1767648978.0956318,0,7470,77718437,138658,189390,0,1,9,1,0,0,1
1767648978.097172,0,7471,77728437,138632,189402,0,0,9,1,0,0,1
1767648978.0997307,0,7472,77738437,138632,189402,0,0,3,1,1,0,0
1767648978.101385,0,7473,77748437,138632,189402,0,0,11,1,1,0,1
1767648978.1029935,0,7474,77758437,138632,189402,0,0,11,1,1,0,1
1767648978.1456325,0,7475,77768437,138642,189402,0,1,9,1,0,0,1
1767648978.1471257,0,7476,77778437,138659,189397,0,0,9,1,0,0,1
1767648978.148864,0,7477,77788437,138659,189397,0,0,11,1,1,0,1
1767648978.1504865,0,7478,77798437,138659,189397,0,0,11,1,1,0,1
1767648978.1521704,0,7479,77808437,138659,189397,0,0,11,1,1,0,1
1767648978.153691,0,7480,77818437,138659,189397,0,0,11,1,1,0,1
1767648978.1956298,0,7481,77828437,138659,189411,0,1,9,1,0,0,1
1767648978.1982033,0,7482,77838437,138668,189379,0,0,1,1,0,0,0
1767648978.199923,0,7483,77848437,138668,189379,0,0,11,1,1,0,1
1767648978.2016184,0,7484,77858437,138668,189379,0,0,11,1,1,0,1
1767648978.2032497,0,7485,77868437,138668,189379,0,0,11,1,1,0,1
1767648978.245627,0,7486,77878437,138608,189383,0,1,9,1,0,0,1
1767648978.2472057,0,7487,77888437,138612,189354,0,0,9,1,0,0,1
1767648978.2493274,0,7488,77898437,138612,189354,0,0,11,1,1,0,1
1767648978.2503793,0,7489,77908437,138612,189354,0,0,11,1,1,0,1
1767648978.2520297,0,7490,77918437,138612,189354,0,0,11,1,1,0,1
1767648978.2536304,0,7491,77928437,138612,189354,0,0,11,1,1,0,1
1767648978.2966373,0,7492,77938437,138646,189392,0,1,1,1,0,0,0
1767648978.2982798,0,7493,77948437,138617,189391,0,0,9,1,0,0,1
1767648978.299952,0,7494,77958437,138617,189391,0,0,11,1,1,0,1
1767648978.3016331,0,7495,77968437,138617,189391,0,0,11,1,1,0,1
1767648978.303217,0,7496,77978437,138617,189391,0,0,11,1,1,0,1
1767648978.346752,0,7497,77988437,138564,189361,0,1,1,1,0,0,0
1767648978.348345,0,7498,77998437,138616,189343,0,0,9,1,0,0,1
1767648978.3499117,0,7499,78008437,138616,189343,0,0,11,1,1,0,1
